CRN,Subject CodeCourse Number,Monday Ind1Tuesday Ind1Wednesday Ind1Thursday Ind1Friday Ind1,Begin Time 1,End Time1,Term Code,Bldg Code1,Room Code1,Section Max Enrollment
10551,ENGL362,MW,1400,1520,201710,ADM,318,25
10555,ENGL473,MWF,1000,1050,201710,ADM,316,25
11432,ENGL699,,0000,0001,201710,,,5
11572,ENGL699,,0000,0001,201710,,,5
11152,ENGR116,T,1330,1620,201710,BEN,210,20
10754,FAM453,T,1800,2050,201710,BSB,112,44
11262,GEOG354,,0000,0001,201710,,,0
10757,HED112,MWF,0800,0850,201710,GIB,135,30
10235,HIST221,TR,1330,1450,201710,ADM,310,30
10919,IT225,TR,0930,1050,201710,MBB,317,20
10760,KINE100,TR,0800,0920,201710,MRW,260A,35
10761,KINE201,TR,1330,1450,201710,GIB,132,30
10767,KINE291,TR,0800,0920,201710,GIB,135,24
10774,KINE330,,0000,0001,201710,,,20
10326,MATH120,MWF,0900,0950,201710,OSC,241,30
10821,PEAC234,TR,1200,1320,201710,MRW,145,32
11297,PHIL478,TR,1200,1320,201710,BSB,121,30
10333,MATH130,MWF,1300,1350,201710,MBB,217,50
10336,MATH227,MWF,1000,1050,201710,OSC,239,24
10339,MATH286,MWF,0800,0850,201710,OSC,241,24
